0,1,2,3,4,5,6,7
"모던 안드로이드 - Jetpack Compose 입문
대시보드",297명,"₩77,000",(4.6),11개의 수강평,초급자,총 50개 수업 (7시간 44분),강의 게시일 : 2021년 11월 11일
"코딩으로 학습하는 GoF의 디자인 패턴
대시보드","3,500명","₩88,000",(4.8),147개의 수강평,초급자,총 98개 수업 (11시간 37분),강의 게시일 : 2021년 10월 26일
"갖고노는 MySQL 데이터베이스 by 얄코
대시보드","3,912명","₩18,700
₩14,030",(4.8),253개의 수강평,입문자,총 23개 수업 (4시간 26분),강의 게시일 : 2021년 08월 25일
"더 개발자, 인터뷰 가이드
대시보드",959명,"₩220,000",(4.9),22개의 수강평,초급자,총 67개 수업 (12시간 27분),강의 게시일 : 2020년 12월 22일
"스프링 시큐리티
대시보드","1,886명","₩88,000",(4.7),127개의 수강평,중급자,총 48개 수업 (8시간 4분),강의 게시일 : 2019년 08월 08일
"AWS 배포 완벽가이드 (feat. Lightsail, Docker, ECS)
대시보드",280명,"₩77,000
₩57,750",(4.9),16개의 수강평,초급자,총 117개 수업 (14시간 29분),강의 게시일 : 2023년 10월 17일
"따라하며 배우는 자바스크립트 A-Z
대시보드",236명,"₩55,000",(4.3),4개의 수강평,입문자,총 68개 수업 (12시간 29분),강의 게시일 : 2023년 10월 12일
"Oracle PL/SQL 딱 이만큼..
대시보드",70명,"₩88,000",(5.0),5개의 수강평,초급자,총 50개 수업 (9시간 48분),강의 게시일 : 2023년 10월 04일
"CloudNet@와 함께하는 Amazon EKS 기본 강의
대시보드",173명,"₩118,800",(5.0),10개의 수강평,초급자,총 77개 수업 (12시간 23분),강의 게시일 : 2023년 09월 27일
"한국인이 좋아하는 속도로 때려넣는 파이썬
대시보드",162명,"₩61,600",(5.0),5개의 수강평,입문자,총 23개 수업 (3시간 17분),강의 게시일 : 2022년 11월 09일
"Vue3 완벽 마스터: 기초부터 실전까지 - ""실전편""
대시보드","1,149명","₩88,000
₩66,000",(4.9),79개의 수강평,초급자,총 34개 수업 (6시간 41분),강의 게시일 : 2022년 06월 09일
"따라하며 배우는 리액트 테스트 [2023.11 업데이트]
대시보드","1,370명","₩49,500",(4.6),47개의 수강평,초급자,총 54개 수업 (6시간 49분),강의 게시일 : 2021년 10월 08일
"[리액트 1부] 만들고 비교하며 학습하는 리액트 (React)
대시보드","1,559명","₩55,000",(4.8),87개의 수강평,초급자,총 96개 수업 (8시간 44분),강의 게시일 : 2021년 05월 04일
"따라하며 배우는 노드, 리액트 시리즈 - 쇼핑몰 사이트 만들기[전체 리뉴얼]
대시보드","2,952명","₩33,000",(4.7),148개의 수강평,중급자,총 111개 수업 (19시간 58분),강의 게시일 : 2020년 04월 22일
"테스트주도개발(TDD)로 만드는 NodeJS API 서버
대시보드","2,111명","₩29,700",(4.7),175개의 수강평,초급자,총 60개 수업 (3시간 49분),강의 게시일 : 2017년 03월 12일
"입문자를 위한 코딩테스트 핵심(이론과 문제풀이) [Python]
대시보드",306명,"₩77,000",(5.0),6개의 수강평,입문자,총 81개 수업 (14시간 31분),강의 게시일 : 2023년 05월 12일
"제임스코딩 풀스택 개발 입문 5주 완성
대시보드",37명,"₩44,000",(5.0),10개의 수강평,입문자,총 157개 수업 (7시간 35분),강의 게시일 : 2023년 04월 19일
"카프카 완벽 가이드 - 커넥트(Connect) 편
대시보드",390명,"₩99,000",(5.0),8개의 수강평,중급자,총 147개 수업 (24시간 35분),강의 게시일 : 2022년 12월 21일
"자바스크립트 알고리즘 문제풀이 입문(코딩테스트 대비)
대시보드","4,350명","₩77,000",(4.8),159개의 수강평,입문자,총 95개 수업 (18시간 21분),강의 게시일 : 2021년 01월 18일
"파이썬 알고리즘 문제풀이 입문(코딩테스트 대비)
대시보드","6,024명","₩77,000",(4.8),172개의 수강평,입문자,총 124개 수업 (26시간 49분),강의 게시일 : 2019년 11월 11일
"React Router 완전 정복
대시보드",23명,"₩55,000",0,0,초급자,총 27개 수업 (1시간 56분),강의 게시일 : 2023년 09월 14일
"롱런하는 슈퍼 개발자가 되기 위한 필수 지식, IT 인프라 기초 총정리
대시보드",168명,"₩55,000",(5.0),6개의 수강평,입문자,총 36개 수업 (8시간 38분),강의 게시일 : 2023년 09월 04일
"따라하면서 배우는 고박사의 2D 플랫포머 게임 제작
대시보드",15명,"₩49,500",0,0,초급자,총 57개 수업 (5시간 20분),강의 게시일 : 2024년 01월 09일
"[Sucode] Next.js: 4시간으로 완성하는 풀스택 Github Issue 클론
대시보드",27명,"₩49,500
₩34,650",0,0,초급자,총 80개 수업 (4시간 20분),강의 게시일 : 2024년 01월 08일
"iOS 개발자라면 꼭 알아야할 Swift
대시보드",10명,"₩26,400
₩19,800",0,0,초급자,총 20개 수업 (2시간 49분),강의 게시일 : 2024년 01월 05일
"[손에 익는 Next.js] Part 2 - 마이그레이션하기
대시보드",72명,"₩27,500
₩22,000",0,0,초급자,총 32개 수업 (1시간 43분),강의 게시일 : 2024년 01월 05일
"삼각형의 실전! OpenAI Triton 초급
대시보드",15명,"₩149,600
₩104,720",0,0,초급자,총 15개 수업 (2시간 59분),강의 게시일 : 2024년 01월 04일
"인프런 퇴근길 밋업 #03 Flutter with LINE
대시보드",631명,무료,(5.0),4개의 수강평,초급자,총 3개 수업 (1시간 14분),강의 게시일 : 2023년 11월 03일
"Golang을 통한 백엔드 개발 및 환경 구축하기
대시보드",68명,"₩13,200",0,0,초급자,총 17개 수업 (2시간 2분),강의 게시일 : 2023년 10월 25일
"ChatGPT 100% 활용하여 배우는 파이썬 기초 A to Z
대시보드",173명,"₩44,000",(5.0),9개의 수강평,입문자,총 42개 수업 (8시간 41분),강의 게시일 : 2022년 11월 21일
"앨런 iOS 앱 개발 (15개의 앱을 만들면서 근본원리부터 배우는 UIKit) - MVVM까지
대시보드",338명,"₩242,000",(5.0),10개의 수강평,초급자,총 169개 수업 (53시간 29분),강의 게시일 : 2022년 07월 28일
"C++20 훑어보기
대시보드",517명,"₩33,000",(4.8),13개의 수강평,초급자,총 30개 수업 (7시간 14분),강의 게시일 : 2021년 12월 13일
"게임 프로그래머 취업 전략 가이드
대시보드","1,996명","₩33,000",(5.0),170개의 수강평,입문자,총 16개 수업 (5시간 24분),강의 게시일 : 2021년 08월 02일
"[C++과 언리얼로 만드는 MMORPG 게임 개발 시리즈] Part3: 자료구조와 알고리즘
대시보드","1,386명","₩77,000
₩61,600",(4.9),32개의 수강평,초급자,총 39개 수업 (15시간 38분),강의 게시일 : 2021년 07월 19일
"Kevin의 알기 쉬운 RxJava 2부
대시보드",463명,"₩38,500
₩33,000",(4.9),14개의 수강평,초급자,총 23개 수업 (3시간 46분),강의 게시일 : 2020년 11월 25일
"[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part3: 유니티 엔진
대시보드","4,857명","₩88,000",(4.9),231개의 수강평,초급자,총 75개 수업 (19시간 53분),강의 게시일 : 2020년 03월 17일
"[C#과 유니티로 만드는 MMORPG 게임 개발 시리즈] Part2: 자료구조와 알고리즘
대시보드","4,133명","₩44,000",(4.9),268개의 수강평,초급자,총 25개 수업 (6시간 45분),강의 게시일 : 2020년 02월 16일
"리눅스 성능 분석 시작하기
대시보드",285명,"₩33,000",(4.8),11개의 수강평,초급자,총 19개 수업 (3시간 9분),강의 게시일 : 2023년 07월 24일
"빠른 취업을 위한 백엔드 로드맵
대시보드",187명,"₩29,700",(5.0),19개의 수강평,입문자,총 40개 수업 (2시간 23분),강의 게시일 : 2023년 04월 14일
"자바스크립트 제대로 배워볼래?
대시보드",710명,"₩77,000",(4.9),72개의 수강평,초급자,총 43개 수업 (12시간 41분),강의 게시일 : 2021년 04월 07일
"실무에 바로 적용하는 프런트엔드 테스트 - 2부. 테스트 심화: 시각적 회귀・E2E 테스트
대시보드",166명,"₩66,000",(5.0),4개의 수강평,초급자,총 23개 수업 (3시간 59분),강의 게시일 : 2023년 12월 19일
"실리콘밸리 엔지니어와 함께하는 아마존 웹서비스(Core)편
대시보드",57명,"₩49,500
₩37,130",(5.0),3개의 수강평,입문자,총 65개 수업 (7시간 15분),강의 게시일 : 2023년 11월 13일
"실리콘밸리 엔지니어와 함께하는 Apache Airflow
대시보드",148명,"₩36,300",(5.0),7개의 수강평,초급자,총 19개 수업 (2시간 44분),강의 게시일 : 2023년 08월 25일
"OpenGL 쉐이더 (1) shader 3D 그래픽스 - 3D 그래픽스, OpenGL, 콜백 함수, 컬러 이론
대시보드",135명,"₩26,400",(5.0),7개의 수강평,초급자,총 33개 수업 (3시간 35분),강의 게시일 : 2023년 04월 11일
"컴퓨터 과학 (2): 자료저장 - 2진수, 문자, 오디오, 이미지, 비디오 포맷
대시보드",37명,"₩13,200",0,0,입문자,총 35개 수업 (4시간 26분),강의 게시일 : 2023년 03월 22일
"실리콘밸리 엔지니어가 가르치는 파이썬 장고 웹프로그래밍
대시보드",227명,"₩55,000",(4.8),6개의 수강평,초급자,총 81개 수업 (11시간 14분),강의 게시일 : 2023년 02월 21일
"습관부터 바꿔주는 React 기초
대시보드",96명,"₩33,000",(3.8),5개의 수강평,입문자,총 67개 수업 (13시간 44분),강의 게시일 : 2023년 01월 18일
"비전공 기획자 및 관리자를 위한 IT 필수 지식
대시보드","1,144명","₩93,500",(4.9),67개의 수강평,입문자,총 27개 수업 (7시간 54분),강의 게시일 : 2022년 03월 03일
"리액트 공식문서 함께 공부하기
대시보드","2,202명",무료,(5.0),5개의 수강평,입문자,총 71개 수업 (31시간 54분),강의 게시일 : 2023년 07월 06일
"최고의 프론트엔드 CSS Frameworks, UIkit
대시보드",122명,"₩49,500",(5.0),7개의 수강평,초급자,총 47개 수업 (16시간 55분),강의 게시일 : 2022년 01월 13일
"HTML+CSS+JS 포트폴리오 실전 퍼블리싱(시즌2)
대시보드",827명,"₩56,100",(5.0),28개의 수강평,초급자,총 121개 수업 (38시간 38분),강의 게시일 : 2021년 07월 06일
"면접과 취업을 부르는 '퍼블리셔 개인 포트폴리오 홈페이지' 제작
대시보드",339명,"₩61,600",(5.0),13개의 수강평,초급자,총 92개 수업 (19시간 6분),강의 게시일 : 2021년 04월 08일
"퍼블리셔 취업 진짜 실전 가이드(PDF)
대시보드",588명,"₩35,200",(4.9),36개의 수강평,입문자,총 7개 수업 (7분),강의 게시일 : 2020년 09월 22일
"Javascript ES6+ 제대로 알아보기 - 초급
대시보드","1,602명","₩35,200",(4.9),114개의 수강평,초급자,총 29개 수업 (3시간 30분),강의 게시일 : 2018년 05월 28일
"빠르게 알아보는 Javascript V8엔진
대시보드",47명,"₩25,300",(5.0),4개의 수강평,초급자,총 20개 수업 (1시간 34분),강의 게시일 : 2023년 12월 18일
"챗GPT와 파이썬으로 유튜브 AI 직원 만들기
대시보드",37명,"₩88,000",0,0,초급자,총 39개 수업 (12시간 9분),강의 게시일 : 2023년 12월 18일
"쉽고 빠르게 배우는 Vue 3 기본 (Composition API)
대시보드",45명,"₩55,000",(5.0),7개의 수강평,초급자,총 32개 수업 (3시간 20분),강의 게시일 : 2023년 12월 15일
"EasyWin32와 함께 그래픽 환경에서 C 언어 실습하기
대시보드",172명,무료,(5.0),3개의 수강평,입문자,총 31개 수업 (15시간 8분),강의 게시일 : 2023년 12월 12일
"김영한의 자바 입문 - 코드로 시작하는 자바 첫걸음
대시보드","23,522명",무료,(5.0),358개의 수강평,입문자,총 82개 수업 (12시간 51분),강의 게시일 : 2023년 11월 28일
"자바 동시성 프로그래밍 [리액티브 프로그래밍 Part.1]
대시보드",529명,"₩99,000
₩74,250",(5.0),4개의 수강평,초급자,총 103개 수업 (44시간 9분),강의 게시일 : 2023년 11월 28일
"실전! GitHub Actions으로 CI/CD 시작하기
대시보드",91명,"₩55,000",(5.0),3개의 수강평,초급자,총 74개 수업 (8시간 35분),강의 게시일 : 2023년 11월 27일
"Vue 3 중급 - Composition API
대시보드",266명,"₩55,000
₩41,250",(5.0),16개의 수강평,중급자,총 25개 수업 (2시간 52분),강의 게시일 : 2023년 11월 13일
"백엔드 개발자에 의한, 백엔드 개발자들을 위한 프론트엔드 강의 - 기본편
대시보드",78명,"₩26,400",(5.0),6개의 수강평,초급자,총 28개 수업 (5시간 19분),강의 게시일 : 2023년 10월 10일
"장래쌤과 함께하는 쉽고 재미있는 SQL Server 운영 이야기(기본편)
대시보드",31명,"₩74,800",0,0,입문자,총 56개 수업 (9시간 28분),강의 게시일 : 2023년 08월 24일
"비전공자의 전공자 따라잡기 - 자료구조(with JavaScript)
대시보드",202명,"₩44,000",(4.0),5개의 수강평,초급자,총 33개 수업 (5시간 36분),강의 게시일 : 2023년 08월 14일
"장래쌤과 함께하는 쉽고 재미있는 SQL 이야기
대시보드",121명,"₩49,500",(4.7),6개의 수강평,입문자,총 58개 수업 (9시간 58분),강의 게시일 : 2023년 08월 01일
"모두를 위한 ChatGPT Part 2 - ChatGPT를 이용한 데이터분석과 판다스 활용
대시보드",86명,"₩44,000",(5.0),3개의 수강평,입문자,총 32개 수업 (4시간 6분),강의 게시일 : 2023년 03월 23일
"[개정3판] Node.js 교과서 - 기본부터 프로젝트 실습까지
대시보드","1,239명","₩49,500",(4.9),22개의 수강평,초급자,총 115개 수업 (27시간 21분),강의 게시일 : 2023년 01월 13일
"딥러닝을 활용한 자연어 처리 (NLP) 과정 (기초부터 ChatGPT까지)
대시보드",307명,"₩88,000
₩77,000",(4.9),9개의 수강평,중급자,총 65개 수업 (17시간 9분),강의 게시일 : 2022년 12월 06일
"파이썬을 활용한 머신러닝 딥러닝 입문
대시보드",257명,"₩88,000",(4.6),9개의 수강평,입문자,총 74개 수업 (20시간 46분),강의 게시일 : 2022년 07월 29일
"Nuxt.js 시작하기
대시보드","1,361명","₩55,000",(4.9),98개의 수강평,중급자,총 73개 수업 (6시간 11분),강의 게시일 : 2021년 08월 12일
"Do It! 장고+부트스트랩: 파이썬 웹개발의 정석
대시보드",457명,"₩132,000",(4.8),35개의 수강평,초급자,총 102개 수업 (26시간 45분),강의 게시일 : 2021년 06월 22일
"<M.B.I.T> 테스트 페이지 만들기! with Django
대시보드","1,738명","₩38,500",(4.8),19개의 수강평,초급자,총 80개 수업 (13시간 36분),강의 게시일 : 2021년 03월 15일
"PyGame 어드벤쳐 : 위니브 월드를 수복하라!
대시보드",212명,"₩33,000",(5.0),6개의 수강평,초급자,총 61개 수업 (6시간 1분),강의 게시일 : 2020년 12월 09일
"Python 부트캠프
대시보드","1,197명","₩55,000",(4.9),22개의 수강평,입문자,총 90개 수업 (12시간 43분),강의 게시일 : 2020년 07월 13일
"Node.js에 TypeScript 적용하기(feat. NodeBird)
대시보드",449명,"₩29,700",(4.6),13개의 수강평,중급자,총 26개 수업 (5시간 16분),강의 게시일 : 2020년 04월 20일
"프론트엔드 개발자를 위한 웹팩
대시보드","3,469명","₩33,000",(4.8),307개의 수강평,초급자,총 64개 수업 (3시간 27분),강의 게시일 : 2020년 03월 18일
"Vue.js 시작하기 - Age of Vue.js
대시보드","8,478명","₩44,000",(4.9),"1,370개의 수강평",초급자,총 68개 수업 (5시간 25분),강의 게시일 : 2019년 06월 11일
"공공데이터로 파이썬 데이터 분석 시작하기
대시보드","5,818명","₩66,000",(4.9),297개의 수강평,초급자,총 84개 수업 (14시간 10분),강의 게시일 : 2019년 02월 12일
"PWA 시작하기 - 웹 기술로 앱을 만들자
대시보드",707명,"₩55,000",(4.6),28개의 수강평,초급자,총 36개 수업 (3시간 29분),강의 게시일 : 2018년 09월 13일
"아이비의 안드로이드 드릴
대시보드",20명,"₩990,000",0,0,초급자,총 476개 수업 (81시간 12분),강의 게시일 : 2023년 11월 13일
"뉴비를 위한 자바스크립트
대시보드",759명,무료,(4.7),6개의 수강평,입문자,총 17개 수업 (3시간 36분),강의 게시일 : 2023년 11월 13일
"실전 연습으로 익히는 고급 타입스크립트 기술
대시보드",145명,"₩38,500",(5.0),13개의 수강평,중급자,총 165개 수업 (2시간 57분),강의 게시일 : 2023년 08월 03일
"제대로 파는 자바 (Java) - by 얄코
대시보드","1,294명","₩66,000
₩49,500",(4.9),19개의 수강평,입문자,총 102개 수업 (21시간 18분),강의 게시일 : 2023년 07월 20일
"Java/Spring 테스트를 추가하고 싶은 개발자들의 오답노트
대시보드",896명,"₩59,400",(5.0),38개의 수강평,초급자,총 25개 수업 (6시간 20분),강의 게시일 : 2023년 06월 09일
"웹 애니메이션의 새로운 표준, Web Animations API
대시보드",564명,"₩66,000",(5.0),25개의 수강평,초급자,총 48개 수업 (4시간 58분),강의 게시일 : 2023년 06월 08일
"한 입 크기로 잘라먹는 타입스크립트(TypeScript)
대시보드","1,201명","₩55,000",(5.0),45개의 수강평,초급자,총 62개 수업 (10시간 31분),강의 게시일 : 2023년 05월 22일
"웹 애니메이션을 위한 GSAP 가이드 Part.02
대시보드",135명,"₩156,200",(5.0),10개의 수강평,초급자,총 46개 수업 (11시간 51분),강의 게시일 : 2023년 04월 18일
"웹 애니메이션을 위한 GSAP 가이드 Part.01
대시보드",409명,"₩44,000",(5.0),22개의 수강평,초급자,총 27개 수업 (3시간 55분),강의 게시일 : 2022년 12월 13일
"그림으로 쉽게 배우는 자료구조와 알고리즘 (기본편)
대시보드","1,188명","₩55,000",(4.9),54개의 수강평,입문자,총 25개 수업 (4시간 19분),강의 게시일 : 2022년 06월 23일
"마이크로서비스 아키텍처 와 MSA 패턴 이해
대시보드",673명,"₩99,000",(4.8),33개의 수강평,중급자,총 30개 수업 (9시간 42분),강의 게시일 : 2022년 05월 25일
"이펙티브 자바 완벽 공략 1부
대시보드","2,497명","₩88,000",(4.9),84개의 수강평,중급자,총 74개 수업 (12시간 52분),강의 게시일 : 2022년 03월 31일
"UIKit - iOS14 실무 가이드 <iOS앱 진짜 개발자 되기>
대시보드",581명,"₩88,000",(4.7),34개의 수강평,입문자,총 76개 수업 (26시간 2분),강의 게시일 : 2021년 06월 14일
"얄코의 반응형 프로그래밍 - 자바스크립트로 쉽게 배우는 ReactiveX
대시보드",809명,"₩29,700
₩22,280",(4.9),47개의 수강평,초급자,총 18개 수업 (2시간 40분),강의 게시일 : 2021년 05월 26일
"시스템엔지니어가 알려주는 리눅스 실전편 Bash Shell Script
대시보드",774명,"₩99,000",(4.6),56개의 수강평,중급자,총 16개 수업 (6시간 13분),강의 게시일 : 2021년 01월 20일
"처음하는 파이썬 데이터 분석 (쉽게! 전처리, pandas, 시각화까지 전과정 기본 익히기) [데이터과학 Part1]
대시보드","3,140명","₩77,000",(4.9),251개의 수강평,초급자,총 58개 수업 (11시간 18분),강의 게시일 : 2020년 06월 22일
"스프링과 JPA 기반 웹 애플리케이션 개발
대시보드","1,793명","₩330,000",(4.8),104개의 수강평,중급자,총 96개 수업 (18시간 12분),강의 게시일 : 2020년 03월 16일
"더 자바, 코드를 조작하는 다양한 방법
대시보드","4,447명","₩49,500",(4.9),288개의 수강평,초급자,총 24개 수업 (4시간 36분),강의 게시일 : 2019년 08월 21일
"인터랙티브 웹 개발 제대로 시작하기
대시보드","3,228명","₩55,000",(4.9),290개의 수강평,초급자,총 70개 수업 (11시간 14분),강의 게시일 : 2019년 05월 11일
"스프링 기반 REST API 개발
대시보드","3,309명","₩99,000",(4.7),199개의 수강평,중급자,총 43개 수업 (8시간 48분),강의 게시일 : 2018년 12월 03일
"쥬쥬와 함께 하루만에 끝내는 스프링 테스트
대시보드",108명,"₩88,000",(5.0),6개의 수강평,초급자,총 29개 수업 (5시간 18분),강의 게시일 : 2023년 09월 20일
"[코드팩토리] [초급] 8시간만에 끝내는 코드팩토리의 Typescript 완전정복 풀코스
대시보드",587명,"₩44,000",(5.0),20개의 수강평,초급자,총 77개 수업 (8시간 10분),강의 게시일 : 2023년 05월 25일
"토비의 스프링 부트 - 이해와 원리
대시보드","5,262명","₩99,000",(5.0),233개의 수강평,초급자,총 68개 수업 (11시간 6분),강의 게시일 : 2023년 01월 19일
"[코드팩토리] [중급] Flutter 진짜 실전! 상태관리, 캐시관리, Code Generation, GoRouter, 인증로직 등 중수가 되기 위한 필수 스킬들!
대시보드","2,152명","₩132,000",(4.9),109개의 수강평,중급자,총 147개 수업 (21시간 6분),강의 게시일 : 2022년 08월 24일
"따라하며 배우는 노드, 리액트 시리즈 - 레딧 사이트 만들기(NextJS)(Pages Router)
대시보드",878명,"₩44,000",(4.4),12개의 수강평,초급자,총 103개 수업 (17시간 39분),강의 게시일 : 2022년 08월 10일
"Vue3 완벽 마스터: 기초부터 실전까지 - ""기본편""
대시보드","1,444명","₩66,000
₩49,500",(4.9),143개의 수강평,초급자,총 34개 수업 (7시간 47분),강의 게시일 : 2022년 06월 09일
"Vuetify Admin Template 만들기 - 실전편 (Based Vue2)
대시보드",471명,"₩55,000",(5.0),20개의 수강평,초급자,총 13개 수업 (2시간 22분),강의 게시일 : 2021년 05월 25일
"mongoDB 기초부터 실무까지(feat. Node.js)
대시보드","1,200명","₩77,000
₩57,750",(4.7),81개의 수강평,초급자,총 112개 수업 (11시간 56분),강의 게시일 : 2021년 02월 04일
"따라하며 배우는 리액트, 파이어베이스 - 채팅 어플리케이션 만들기[2023.12 리뉴얼]
대시보드",929명,"₩44,000",(4.8),39개의 수강평,초급자,총 142개 수업 (19시간 4분),강의 게시일 : 2020년 11월 16일
"비전공자를 위한 개발자 취업 개론
대시보드","1,062명","₩44,000",(4.9),193개의 수강평,입문자,총 23개 수업 (3시간 24분),강의 게시일 : 2020년 03월 26일
"실습으로 배우는 그라파나
대시보드",248명,"₩99,000",(5.0),3개의 수강평,중급자,총 66개 수업 (8시간 53분),강의 게시일 : 2023년 05월 15일
"GameFi - 블록체인 Web3 게임 만들기
대시보드",46명,"₩99,000",0,0,중급자,총 82개 수업 (7시간 7분),강의 게시일 : 2023년 05월 02일
"카프카 완벽 가이드 - ksqlDB
대시보드",165명,"₩99,000",(4.5),6개의 수강평,중급자,총 139개 수업 (21시간 31분),강의 게시일 : 2023년 04월 21일
"자바 코딩테스트 - it 대기업 유제
대시보드",548명,"₩88,000",(5.0),7개의 수강평,초급자,총 124개 수업 (21시간 37분),강의 게시일 : 2023년 03월 16일
"다양한 사례로 익히는 SQL 데이터 분석
대시보드","1,076명","₩88,000",(5.0),24개의 수강평,중급자,총 91개 수업 (15시간 10분),강의 게시일 : 2022년 05월 02일
"스파크 머신러닝 완벽 가이드 - Part 1
대시보드",759명,"₩99,000",(4.9),22개의 수강평,중급자,총 117개 수업 (24시간 27분),강의 게시일 : 2021년 12월 09일
"Python을 이용한 개인화 추천시스템 | 추천알고리즘 | 추천인공지능
대시보드",836명,"₩44,000
₩36,300",(4.8),30개의 수강평,초급자,총 41개 수업 (6시간 14분),강의 게시일 : 2021년 11월 12일
"캐글 Advanced 머신러닝 실전 박치기
대시보드","1,302명","₩66,000",(4.9),64개의 수강평,중급자,총 70개 수업 (12시간 55분),강의 게시일 : 2020년 09월 14일
"SQL 코딩테스트를 위한 마지막 걸음
대시보드",24명,"₩22,000",0,0,중급자,총 14개 수업 (1시간 51분),강의 게시일 : 2023년 09월 14일
"[자바/Java] 문과생도 이해하는 DFS 알고리즘! - 입문편
대시보드",217명,"₩23,100",(5.0),18개의 수강평,초급자,총 19개 수업 (3시간 49분),강의 게시일 : 2023년 06월 28일
"[입문편] 안드로이드를 위한 코틀린(Kotlin) 문법
대시보드",589명,"₩22,000",(4.8),35개의 수강평,입문자,총 47개 수업 (6시간 25분),강의 게시일 : 2021년 12월 16일
"대세는 쿠버네티스 [초급~중급]
대시보드","5,555명","₩55,000",(4.9),393개의 수강평,초급자,총 62개 수업 (11시간 2분),강의 게시일 : 2019년 09월 11일
"[Sucode] Next.js: 3시간으로 완성하는 Next.js 필수 개발 가이드
대시보드",51명,"₩33,000",0,0,초급자,총 68개 수업 (2시간 52분),강의 게시일 : 2023년 12월 05일
"Kevin의 알기 쉬운 Spring Reactive Web Applications: Reactor 1부
대시보드",300명,"₩66,000",(5.0),7개의 수강평,초급자,총 28개 수업 (5시간 57분),강의 게시일 : 2023년 06월 26일
"수학 없이 시작하는 인공지능 첫걸음: 기초부터 최신 트렌드까지
대시보드",296명,"₩77,000",(4.8),22개의 수강평,입문자,총 27개 수업 (5시간 1분),강의 게시일 : 2022년 12월 19일
"나도코딩의 자바 기본편 - 풀코스 (20시간)
대시보드","3,235명","₩71,500",(4.9),148개의 수강평,입문자,총 136개 수업 (19시간 43분),강의 게시일 : 2022년 12월 14일
"인프런 퇴근길 밋업 #01 Node.js
대시보드","1,285명",무료,(4.9),15개의 수강평,초급자,총 3개 수업 (1시간 2분),강의 게시일 : 2022년 12월 06일
"[입문자를 위한 UE5] Part2. 언리얼 엔진 2D 게임 개발 입문
대시보드",870명,"₩55,000",(5.0),31개의 수강평,초급자,총 33개 수업 (9시간 6분),강의 게시일 : 2022년 09월 08일
"따라하면서 배우는 고박사의 유니티 하이퍼캐주얼게임 시리즈 03
대시보드",201명,"₩44,000
₩35,200",(5.0),6개의 수강평,초급자,총 59개 수업 (3시간 18분),강의 게시일 : 2022년 07월 22일
"입문자를 위한 게임 프로그래머 개론
대시보드","1,057명","₩11,000",(4.9),23개의 수강평,입문자,총 14개 수업 (6시간 12분),강의 게시일 : 2022년 07월 04일
"따라하면서 배우는 고박사의 유니티 하이퍼캐주얼게임 시리즈 02
대시보드",296명,"₩33,000
₩26,400",(5.0),12개의 수강평,초급자,총 36개 수업 (2시간 22분),강의 게시일 : 2022년 04월 12일
"실제 이력서 사례로 알아보는 [합격하는 이력서] 작성 가이드
대시보드","1,890명","₩49,500",(5.0),164개의 수강평,입문자,총 22개 수업 (2시간 45분),강의 게시일 : 2022년 04월 08일
"데이터 분석을 위한 파이썬: 입문부터 꿀팁까지
대시보드",438명,"₩38,500",(5.0),40개의 수강평,입문자,총 58개 수업 (8시간 48분),강의 게시일 : 2021년 10월 12일
"언리얼 엔진4 입문 (C++ 기반)
대시보드","1,890명","₩22,000",(4.9),64개의 수강평,초급자,총 30개 수업 (10시간 19분),강의 게시일 : 2021년 09월 14일
"[비전공자 대환영] 제로베이스도 쉽게 입문하는 파이썬 데이터 분석 - 캐글입문기
대시보드",160명,"₩33,000",(4.7),3개의 수강평,입문자,총 38개 수업 (15시간 24분),강의 게시일 : 2021년 09월 09일
"따라하면서 배우는 고박사의 유니티 하이퍼캐주얼게임 시리즈 01
대시보드",531명,"₩44,000
₩35,200",(4.8),32개의 수강평,초급자,총 32개 수업 (2시간 53분),강의 게시일 : 2021년 05월 06일
"초보를 위한 쿠버네티스 안내서
대시보드","2,106명","₩49,500",(4.9),159개의 수강평,초급자,총 33개 수업 (5시간 2분),강의 게시일 : 2020년 12월 15일
"8명의 비전공자는 어떻게 개발자로 취업했을까
대시보드","1,256명","₩33,000
₩24,750",(4.9),94개의 수강평,입문자,총 25개 수업 (5시간 7분),강의 게시일 : 2020년 10월 13일
"처음 시작하는 Infrastructure as Code: AWS & 테라폼
대시보드","1,855명","₩38,500",(4.9),150개의 수강평,초급자,총 22개 수업 (4시간 52분),강의 게시일 : 2020년 09월 21일
"스스로 구축하는 AWS 클라우드 인프라 - 기본편
대시보드","1,900명","₩44,000",(4.8),164개의 수강평,초급자,총 30개 수업 (5시간 59분),강의 게시일 : 2020년 09월 11일
"Kevin의 알기 쉬운 RxJava 1부
대시보드",669명,"₩44,000
₩38,500",(4.9),46개의 수강평,초급자,총 18개 수업 (7시간 30분),강의 게시일 : 2020년 08월 24일
"따라하면서 배우는 고박사의 유니티 기초
대시보드","9,416명",무료,(4.9),117개의 수강평,입문자,총 23개 수업 (4시간 54분),강의 게시일 : 2020년 07월 06일
"[개념부터 실습까지] 추천 시스템 입문편
대시보드",566명,"₩49,500",(4.6),45개의 수강평,초급자,총 49개 수업 (7시간 34분),강의 게시일 : 2020년 05월 13일
